sig_id,Num,category,nonscored1,nonscored2,nonscored3
histamine_receptor_agonist,59,agonist,,,
histamine_receptor_antagonist,241,antagonist,,,
histone_lysine_demethylase_inhibitor,24,inhibitor,,,
histone_lysine_methyltransferase_inhibitor,32,inhibitor,,,
hiv_inhibitor,72,inhibitor,,,
hmgcr_inhibitor,283,inhibitor,,,
hsp_inhibitor,93,inhibitor,,,
igf-1_inhibitor,37,inhibitor,,,
ikk_inhibitor,30,inhibitor,,,
imidazoline_receptor_agonist,31,agonist,,,
immunosuppressant,73,immunosuppressant,,,
insulin_secretagogue,30,secretagogue,,,
insulin_sensitizer,51,sensitizer,,,
integrin_inhibitor,42,inhibitor,,,
jak_inhibitor,92,inhibitor,,,
kit_inhibitor,273,inhibitor,,,
laxative,6,inhibitor,,,
leukotriene_inhibitor,6,antagonist,,,
leukotriene_receptor_antagonist,62,antagonist,,,
lipase_inhibitor,12,inhibitor,,,
lipoxygenase_inhibitor,61,inhibitor,,,
lxr_agonist,6,agonist,,,
mdm_inhibitor,31,inhibitor,,,
mek_inhibitor,72,inhibitor,,,
membrane_integrity_inhibitor,74,inhibitor,,,
mineralocorticoid_receptor_antagonist,25,antagonist,,,
monoacylglycerol_lipase_inhibitor,12,inhibitor,,,
monoamine_oxidase_inhibitor,85,inhibitor,,,
monopolar_spindle_1_kinase_inhibitor,18,inhibitor,,,
mtor_inhibitor,130,inhibitor,,,
mucolytic_agent,48,agent,,,
neuropeptide_receptor_antagonist,37,antagonist,,,
nfkb_inhibitor,832,inhibitor,,,
nicotinic_receptor_agonist,6,agonist,acetylcholine_release_enhancer,,
nitric_oxide_donor,26,donor,,,
nitric_oxide_production_inhibitor,12,inhibitor,vasodilator,,
nitric_oxide_synthase_inhibitor,26,inhibitor,,,
norepinephrine_reuptake_inhibitor,7,inhibitor,,,
nrf2_activator,18,activator,,,
opioid_receptor_agonist,61,agonist,,,
opioid_receptor_antagonist,96,antagonist,,,
orexin_receptor_antagonist,37,antagonist,,,
p38_mapk_inhibitor,62,inhibitor,,,
p-glycoprotein_inhibitor,24,inhibitor,,,
parp_inhibitor,61,inhibitor,,,
pdgfr_inhibitor,297,inhibitor,,,
pdk_inhibitor,18,inhibitor,,,
phosphodiesterase_inhibitor,264,inhibitor,,,
phospholipase_inhibitor,25,inhibitor,,,
pi3k_inhibitor,151,inhibitor,,,
pkc_inhibitor,31,inhibitor,,,
potassium_channel_activator,55,activator,,,
potassium_channel_antagonist,98,antagonist,,,
ppar_receptor_agonist,115,agonist,,,
ppar_receptor_antagonist,30,antagonist,,,
progesterone_receptor_agonist,119,agonist,,,
progesterone_receptor_antagonist,18,antagonist,,,
prostaglandin_inhibitor,36,inhibitor,,,
prostanoid_receptor_antagonist,84,antagonist,,,
proteasome_inhibitor,726,inhibitor,,,
protein_kinase_inhibitor,48,inhibitor,,,
protein_phosphatase_inhibitor,6,inhibitor,tyrosine_phosphatase_inhibitor,,
protein_synthesis_inhibitor,103,inhibitor,,,
protein_tyrosine_kinase_inhibitor,19,inhibitor,,,
radiopaque_medium,56,medium,,,
raf_inhibitor,223,inhibitor,,,
ras_gtpase_inhibitor,12,inhibitor,,,
retinoid_receptor_agonist,67,agonist,,,
retinoid_receptor_antagonist,6,antagonist,,,
rho_associated_kinase_inhibitor,35,inhibitor,,,
ribonucleoside_reductase_inhibitor,37,inhibitor,,,
rna_polymerase_inhibitor,25,inhibitor,,,
serotonin_receptor_agonist,236,agonist,,,
serotonin_receptor_antagonist,404,antagonist,,,
serotonin_reuptake_inhibitor,44,inhibitor,,,
sigma_receptor_agonist,36,agonist,,,
sigma_receptor_antagonist,36,antagonist,,,
smoothened_receptor_antagonist,25,antagonist,,,
sodium_channel_inhibitor,267,inhibitor,,,
sphingosine_receptor_agonist,25,agonist,sphingosine_1_phosphate_receptor_agonist,,
src_inhibitor,71,inhibitor,,,
steroid,6,steroid,anti-inflammatory,,
syk_inhibitor,19,inhibitor,,,
tachykinin_antagonist,60,antagonist,,,
tgf-beta_receptor_inhibitor,30,inhibitor,,,
thrombin_inhibitor,19,inhibitor,,,
thymidylate_synthase_inhibitor,37,inhibitor,,,
tlr_agonist,30,agonist,,,
tlr_antagonist,7,antagonist,,,
tnf_inhibitor,36,inhibitor,,,
topoisomerase_inhibitor,127,inhibitor,,,
transient_receptor_potential_channel_antagonist,18,antagonist,,,
tropomyosin_receptor_kinase_inhibitor,6,inhibitor,,,
trpv_agonist,25,agonist,,,
trpv_antagonist,48,antagonist,,,
tubulin_inhibitor,316,inhibitor,,,
tyrosine_kinase_inhibitor,73,inhibitor,,,
ubiquitin_specific_protease_inhibitor,6,inhibitor,ubiquitin-conjugating_enzyme_inhibitor,,
vegfr_inhibitor,170,inhibitor,,,
vitamin_b,26,vitamin,,,
vitamin_d_receptor_agonist,39,agonist,,,
wnt_inhibitor,30,inhibitor,,,
